blenderin;blenderout;qgisin;qgisout;unityin;unityout;terrascanin;terrascanout;infraworksin;infraworksout;rhinoin;rhinoout;revitin;revitone;leapfrogin;leapfrogout;civil3din;civil3dout;fusion360in;fusion360out;nirain;niraout;3dsmaxin;3dsmaxout;agisoftin;agisoftout;pix4din;pix4dout;twinmotionin;twinmotionout;realitycapturein;realitycaptureout;contextcapturein;contextcaptureout;cloudcomparein;cloudcompareout;meshmixerin;meshmixerout;meshlabin;meshlabout;recapin;recapout;cyclonerin;cyclonerout
ABC;BVH;BAG;BMP;FBX;FBX;BI;;3DS;IMX;3DM;3DM;BMP;ACIS SAT;ADF;ASC;;;123DX;3MF;OBJ;;FBX;FBX;JPG;JPG;JPG;TXT;;;;;;;;;;;;;;;;
ASC;BVH;BNA;DWG;DAE;OBJ;BIN;;DAE;FBX;3DMBAK;3DMBAK;DGN;ADSK;ASC;BIL;;;3MF;F3D;IFC;;3DS;3DS;TIFF;TIFF;JPEG;SSK;;;;;;;;;;;;;;;;
BVH;DAR;CSV;DXF;OBJ;;DTE;;DXF;DAE;RWS;RWS;DWF;AVI;BIL;CSV;;;DXFS;F3Z;LWO;;PRJ;PRJ;PNG;PNG;TIF;TIF;;;;;;;;;;;;;;;;
DAE;FBX;DXF;JPEG;DXF;;EBN;;FBX;OBJ;3MF;3MF;DWG;BMP;CSV;DGN;;;F3D;FBX;LWS;;ABC;ABC;BMP;BMP;TIFF;LAS;;;;;;;;;;;;;;;;
FBX;GLTF;GEOTIFF;PDF;SKP;;LDI;;OBJ;FDGB;3DS;3DS;DXF;DGN;DAT;DM;;;F3Z;IAM;LXO;;AI;AI;OpenEXR;OpenEXR;AVI;LAZ;;;;;;;;;;;;;;;;
GLTF;OBJ;HGT;PNG;STL;;LAS;;DWG;;AMF;AMF;gbXML;DWF;DEM;DTM;;;FBX;IPT;3DS;;CATPART;ASS;DNG;XML;MP4;XYZ;;;;;;;;;;;;;;;;
OBJ;PDF;PDF;SHP;3DS;;LAZ;;DXF;;AI;SAT;HTML;DWFx;DFN;DWG;;;IGE;OBJ;DXF;;CATPRODUCT;DAE;PGM;TXT;WMV;PLY;;;;;;;;;;;;;;;;
OSM;PLY;SHP;SVG;MA;;PTS;;IFC;;DWG;AI;IFC;DWG;DGN;DXF;;;IGES;SKP;ZPR;;CGR;DWF;PPM;INI;MOV;GEOTIFF;;;;;;;;;;;;;;;;
PLY;SHP;TIFF;TIFF;BLEND;;XYZ;;IMX;;DXF;DWG;JPEG;DXF;DWG;FEM;;;IGS;SMT;ZTL;;DAE;DWG;MPO;DAT;DXF;KLM;;;;;;;;;;;;;;;;
SHP;STL;WCS;;CINEMA;;CXYZ;;RVT;;X;DXF;OBDC;FBX;DXF;GRD;;;OBJ;STEP;PLY;;DEM;DXF;SEQ;OUT;;HTML;;;;;;;;;;;;;;;;
STL;SVG;WFS;;LXO;;PXYZI;;RFA;;E57;DAE;PNG;gbXML;ERS;IMG;;;STE;STL;STL;;XML;FLT;XML;CHAN;;SHP;;;;;;;;;;;;;;;;
SVG;SVG;XYZ;;IFF;;XYZXYZII;;DGN;;EXP;CD;RFA;gbXML;FEFLOW;MDL;;;STEP;STP;USD;;DDF;HRT;TXT;RZML;;JPG;;;;;;;;;;;;;;;;
SVG;USD;;;STF;;TXYZI;;CITYGML;;DST;X;RFT;IFC;GDB;MSH;;;STP;;ABC;;DWG;IGS;INI;PTB;;PNG;;;;;;;;;;;;;;;;
TIFF ;USDA;;;CAT3D;;XYZIXYZI;;GML;;OFF;EMF;RTE;JPEG;GIF;NAM;;;;;DAE;;FLT;OBJ;DAT;ORN;;OBJ;;;;;;;;;;;;;;;;
USD;USDC;;;;;TXYZIXYZI;;XML;;GFT;GFT;RVT;NWC;GRD;NEV;;;;;FBX;;HTR;PXPROJ;CSV;PRJ;;FBX;;;;;;;;;;;;;;;;
USDA;X3D;;;;;Grass Sites;;IFC;;GTS;PM;SAT;ODBC Database;GRD;OBJ;;;;;GLTF;;IGS;PRT;OUT;PLY;;DXF;;;;;;;;;;;;;;;;
USDC;;;;;;XYZDZ;;LANDXML;;IGES;KMZ;SKP;PNG;GXF;PDF;;;;;GLB;;IGE;NEU;RZML;E57;;PLY;;;;;;;;;;;;;;;;
WRL;;;;;;IDXYZ;;RCS;;LWO;GTS;TIFF;TARGA;HGT;PNG;;;;;BLEND;;IGES;G;OBJ;PTS;;PDF;;;;;;;;;;;;;;;;
X3D;;;;;;IDXYZP;;RCP;;DGN;IGES;TXT;TIFF;IMG;SHP;;;;;MA;;IPT;ASM;3DS;U3D;;OSGB;;;;;;;;;;;;;;;;
;;;;;;;;ADF;;FBX;LWO;;TXT;JPG;SVG;;;;;MB;;IAM;SAT;DAE;ZIP;;SLPK;;;;;;;;;;;;;;;;
;;;;;;;;ASC;;SCN;UDO;;;MDB;TIFF;;;;;CSV;;JS;STL;PLY;OC3;;MP4;;;;;;;;;;;;;;;;
;;;;;;;;BT;;OBJ;FBX;;;MODFLOW;;;;;;TXT;;MDL;SVF;STL;CL3;;MKV;;;;;;;;;;;;;;;;
;;;;;;;;DDF;;PDF;OBJ;;;MSH;;;;;;XML;;MODEL;USD;DXF;PDF;;AVI;;;;;;;;;;;;;;;;
;;;;;;;;DEM;;PLY;CSV;;;NEV;;;;;;JPG;;SESSION;USDA;FBX;OBJ;;DGN;;;;;;;;;;;;;;;;
;;;;;;;;DTO;;ASC;X_T;;;PNG;;;;;;PNG;;EXP;USDC;U3D;DAE;;;;;;;;;;;;;;;;;;
;;;;;;;;GRD;;CGO_ASCII;PDF;;;SHP;;;;;;TIFF;;DLV;WRL;CTM;3DS;;;;;;;;;;;;;;;;;;
;;;;;;;;HGT;;TXT;PLY;;;SRG;;;;;;GIF;;DLV3;;BMP;DAE;;;;;;;;;;;;;;;;;;
;;;;;;;;DOQ;;RAW;TXT;;;TAB;;;;;;TGA;;DLV4;;GEOTIFF;STL;;;;;;;;;;;;;;;;;;
;;;;;;;;ECW;;PTS;POV;;;TIF;;;;;;EXR;;OBJ;;KML;DXF;;;;;;;;;;;;;;;;;;
;;;;;;;;IMG;;SVG;RAW;;;TXT;;;;;;BMP;;PRT;;;FBX;;;;;;;;;;;;;;;;;;
;;;;;;;;JPG;;SKP;RIB;;;XML;;;;;;DDS;;NEU;;;WRL;;;;;;;;;;;;;;;;;;
;;;;;;;;PNG;;SLC;SVG;;;;;;;;;PSD;;G;;;KMZ;;;;;;;;;;;;;;;;;;
;;;;;;;;SID;;SLDPRT;SKP;;;;;;;;;;;ASM;;;GEOTIFF;;;;;;;;;;;;;;;;;;
;;;;;;;;TIFF;;STP;SLC;;;;;;;;;;;RVT;;;MBTiles;;;;;;;;;;;;;;;;;;
;;;;;;;;WMS;;STL;SPEP;;;;;;;;;;;SAT;;;ASC;;;;;;;;;;;;;;;;;;
;;;;;;;;VRT;;VDA;STL;;;;;;;;;;;SHP;;;BIL;;;;;;;;;;;;;;;;;;
;;;;;;;;ZIP;;VRML;VDA;;;;;;;;;;;SKP;;;TLS;;;;;;;;;;;;;;;;;;
;;;;;;;;GZ;;GDF;VRML;;;;;;;;;;;SLDPRT;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SDF;;STEP;GDF;;;;;;;;;;;SLDASM;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SHP;;SLDASM;WMF;;;;;;;;;;;STL;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SKP;;XYZ;X3D;;;;;;;;;;;STP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SDX;;;XAML;;;;;;;;;;;STEP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SQLITE;;;XGL;;;;;;;;;;;TRC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;DB;;;ZPR;;;;;;;;;;;USD;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;WEMF;;;;;;;;;;;USDA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;USDC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;WIRE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;WRL;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;WRZ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
